"","uh_name","ph_inf","ph_sup","phft","t_max","t_min","cgtr_cooling","cgtr_heating","geometria","azimute","veneziana","componente","absortancia","vidro","open_fac","sombreamento","paf","solo","case","estado","floor","uh_expo","uh_position","ph_inf_ref","ph_sup_ref","phft_ref","t_max_ref","t_min_ref","cgtr_cooling_ref","cgtr_heating_ref"
"1","CO_CANTO_11_0_PR",0.195821917808219,0.000684931506849317,0.803493150684931,26.3445012593206,14.158570494181,12440805.283506,1264828245.92991,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_double-fs87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_fenes_17_geom_0_0_0.txt","g",0,"PR","CO","CANTO","11",0.190593607305936,0.0590410958904111,0.750365296803653,30.8498777765224,12.8838626138435,1699000841.78054,0
"2","CO_CANTO_11_0_RJ",0.000273972602739726,0.207853881278539,0.791872146118721,31.4573284790041,17.8896482018135,3993686182.62767,1125962.39300608,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_double-fs87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_fenes_17_geom_0_0_0.txt","g",0,"RJ","CO","CANTO","11",0,0.487191780821918,0.512808219178082,35.8952773242393,18.0533843086552,15112319844.3056,0
"3","CO_CANTO_11_0_SC",0.0552054794520548,0.0514383561643836,0.893356164383562,28.8512607784771,13.7775359151978,944387489.747199,346781839.895786,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_double-fs87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_fenes_17_geom_0_0_0.txt","g",0,"SC","CO","CANTO","11",0.0615296803652968,0.248196347031963,0.69027397260274,32.3229933052659,12.7149643438659,6551854257.96882,5.58793544769287e-08
"4","CO_CANTO_11_0_TO",0,0.20162100456621,0.79837899543379,31.4241437121547,21.2030045657127,4640534337.99067,0,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_double-fs87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_fenes_17_geom_0_0_0.txt","g",0,"TO","CO","CANTO","11",0,0.728264840182648,0.271735159817352,36.23219743107,23.8952644636311,24449922367.6842,7.07223080098629e-08
"5","CO_CANTO_11_1_PR",0.148287671232877,0.00490867579908677,0.846803652968037,27.1062081080658,14.561371973253,107295283.260854,855147668.670562,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_double-fs87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",1,"PR","CO","CANTO","11",0.190593607305936,0.0590410958904111,0.750365296803653,30.8498777765224,12.8838626138435,1699000841.78054,0
"6","CO_CANTO_11_1_RJ",0.000639269406392693,0.173881278538813,0.825479452054795,31.8758224634697,17.7456917786535,3989714272.37818,1435831.02441126,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_double-fs87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",1,"RJ","CO","CANTO","11",0,0.487191780821918,0.512808219178082,35.8952773242393,18.0533843086552,15112319844.3056,0
"7","CO_CANTO_11_1_SC",0.0412557077625571,0.0602739726027398,0.898470319634703,29.1463508578178,13.9980413048936,1314069809.46861,233970561.082374,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_double-fs87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",1,"SC","CO","CANTO","11",0.0615296803652968,0.248196347031963,0.69027397260274,32.3229933052659,12.7149643438659,6551854257.96882,5.58793544769287e-08
"8","CO_CANTO_11_1_TO",0,0.199178082191781,0.800821917808219,31.7724284638623,20.2162676194589,5070011992.79697,0,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_double-fs87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",1,"TO","CO","CANTO","11",0,0.728264840182648,0.271735159817352,36.23219743107,23.8952644636311,24449922367.6842,7.07223080098629e-08
"9","CO_CANTO_11_10_PR",0.222054794520548,0.000342465753424657,0.777602739726028,26.1552642462719,13.9597891993253,6337354.46484963,1497359481.99562,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_fs87.txt","afn_openingfactor100.txt","m_shade_120_geom_0_0_0.txt","m_fenes_17_geom_0_0_0.txt","g",10,"PR","CO","CANTO","11",0.190593607305936,0.0590410958904111,0.750365296803653,30.8498777765224,12.8838626138435,1699000841.78054,0
"10","CO_CANTO_11_10_RJ",0.000365296803652967,0.199292237442922,0.800342465753425,31.4451376314157,17.8691753086409,3837817149.17457,1647317.61406726,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_fs87.txt","afn_openingfactor100.txt","m_shade_120_geom_0_0_0.txt","m_fenes_17_geom_0_0_0.txt","g",10,"RJ","CO","CANTO","11",0,0.487191780821918,0.512808219178082,35.8952773242393,18.0533843086552,15112319844.3056,0
"11","CO_CANTO_11_10_SC",0.0591324200913242,0.0444520547945206,0.896415525114155,28.7930635088487,13.6674188219837,800680043.330951,389631004.711992,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_fs87.txt","afn_openingfactor100.txt","m_shade_120_geom_0_0_0.txt","m_fenes_17_geom_0_0_0.txt","g",10,"SC","CO","CANTO","11",0.0615296803652968,0.248196347031963,0.69027397260274,32.3229933052659,12.7149643438659,6551854257.96882,5.58793544769287e-08
"12","CO_CANTO_11_10_TO",0,0.199611872146119,0.800388127853881,31.571240047562,21.2673900007018,4638535616.41641,0,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_fs87.txt","afn_openingfactor100.txt","m_shade_120_geom_0_0_0.txt","m_fenes_17_geom_0_0_0.txt","g",10,"TO","CO","CANTO","11",0,0.728264840182648,0.271735159817352,36.23219743107,23.8952644636311,24449922367.6842,7.07223080098629e-08
"13","CO_CANTO_11_11_PR",0.203127853881278,0.00159817351598174,0.79527397260274,26.6967847227137,13.8922189561458,31939346.4690582,1402176314.18193,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_fs87.txt","afn_openingfactor100.txt","m_shade_120_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",11,"PR","CO","CANTO","11",0.190593607305936,0.0590410958904111,0.750365296803653,30.8498777765224,12.8838626138435,1699000841.78054,0
"14","CO_CANTO_11_11_RJ",0.000730593607305937,0.159269406392694,0.84,31.8342621911132,17.6994683928387,3617733763.0674,2758772.55437939,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_fs87.txt","afn_openingfactor100.txt","m_shade_120_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",11,"RJ","CO","CANTO","11",0,0.487191780821918,0.512808219178082,35.8952773242393,18.0533843086552,15112319844.3056,0
"15","CO_CANTO_11_11_SC",0.0558219178082192,0.0442009132420092,0.899977168949772,29.0534833156657,13.4459272993962,904408307.405766,372712520.391869,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_fs87.txt","afn_openingfactor100.txt","m_shade_120_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",11,"SC","CO","CANTO","11",0.0615296803652968,0.248196347031963,0.69027397260274,32.3229933052659,12.7149643438659,6551854257.96882,5.58793544769287e-08
"16","CO_CANTO_11_11_TO",0,0.187123287671233,0.812876712328767,31.8885767555878,20.2050974798027,4788548776.19193,0,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_fs87.txt","afn_openingfactor100.txt","m_shade_120_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",11,"TO","CO","CANTO","11",0,0.728264840182648,0.271735159817352,36.23219743107,23.8952644636311,24449922367.6842,7.07223080098629e-08
