"weather","tbs","zbb","phft","ph_sup","ph_inf"
"BRA_AC_Feijo.AP.819240_INMET",26.07582192,8,18.7,81.3,0
"BRA_AC_Parque.Chandless.819630_INMET",24.87121005,8,5.1,94.9,0
"BRA_AC_Porto.Walter.819210_INMET",26.36347032,8,13.7,86.3,0
"BRA_AC_Rio.Branco.829150_INMET",25.116621,8,39.1,60.9,0
"BRA_AL_Arapiraca.AP.819960_INMET",24.84299087,8,17.2,82.8,0
"BRA_AL_Coruripe.866190_INMET",25.72098174,8,30.8,69.2,0
"BRA_AL_Maceio.829940_INMET",25.52243151,8,36.1,63.9,0
"BRA_AL_Palmeira.dos.Indios.829920_INMET",25.27921233,8,50.4,49.6,0
"BRA_AL_Pao.de.Acucar.819940_INMET",27.28173516,8,44.4,55.6,0
"BRA_AL_Sao.Luis.do.Quitunde.819970_INMET",25.42211187,8,33.8,66.2,0
"BRA_AM_Autazes.817320_INMET",26.50482877,8,7.2,92.8,0
"BRA_AM_Barcelos.AP.816480_INMET",26.26980594,8,9.6,90.4,0
"BRA_AM_Coari.817700_INMET",26.2509589,8,12.2,87.8,0
"BRA_AM_Humaita.AP.818900_INMET",26.28507991,8,17.1,82.9,0
"BRA_AM_Itacoatiara.AP.817330_INMET",26.42942922,8,8.4,91.6,0
"BRA_AM_Manacapuru.817290_INMET",26.70017123,8,12,88,0
"BRA_AM_Manaus-Gomez.Intl.AP.817300_INMET",27.27947489,8,37.2,62.8,0
"BRA_AM_Maues.817340_INMET",26.5730137,8,6.2,93.8,0
"BRA_AM_Parintins.817030_INMET",27.49006849,8,34.1,65.9,0
"BRA_AM_Presidente.Figueiredo.816990_INMET",26.64430365,8,11.4,88.6,0
"BRA_AM_Urucara.AP.817020_INMET",27.46123288,8,34.9,65.1,0
"BRA_AP_Macapa-Alcolumbre.Intl.AP.820980_INMET",25.77817352,8,26.6,73.4,0
"BRA_AP_Oiapoque.816090_INMET",25.56219178,8,25.6,74.4,0
"BRA_AP_Porto.Grande.816370_INMET",25.77817352,8,26.6,73.4,0
"BRA_AP_Tartarugalzinho.816280_INMET",25.9922032,8,25,75,0
"BRA_BA_Amargosa.AP.866750_INMET",23.17565068,8,46.6,53.4,0
"BRA_BA_Barra.AP.866340_INMET",26.79222603,6,17.3,82.7,0
"BRA_BA_Barreiras.866520_INMET",25.12493151,7,40.4,59.6,0
"BRA_BA_Belmonte.867440_INMET",23.78600457,8,28.7,71.3,0
"BRA_BA_Bom.Jesus.da.Lapa.AP.866720_INMET",26.24819635,6,30.7,69.3,0
"BRA_BA_Brumado.866960_INMET",25.1665411,5,41.3,58.7,0
"BRA_BA_Buritirama.AP.866090_INMET",25.43762557,6,37.8,62.2,0
"BRA_BA_Caravelas.834970_INMET",25.02063927,8,48.1,51.9,0
"BRA_BA_Conde.866390_INMET",25.9344863,8,28.7,71.3,0
"BRA_BA_Correntina.866710_INMET",23.82134703,6,27.4,72.6,0
"BRA_BA_Cruz.das.Almas.866570_INMET",23.92334475,8,35.4,64.6,0
"BRA_BA_Delfino.866100_INMET",23.84319635,5,35.6,64.4,0
"BRA_BA_Euclides.da.Cunha.866130_INMET",24.10829909,7,36.7,63.3,0
"BRA_BA_Feira.de.Santana.866580_INMET",24.59780822,8,30.2,69.8,0
"BRA_BA_Guanambi.AP.866940_INMET",25.65214612,6,44,56,0
"BRA_BA_Ibotirama.866530_INMET",26.73187215,7,23.2,76.8,0
"BRA_BA_Ilheus.866990_INMET",23.44860731,8,32.9,67.1,0
"BRA_BA_Ipiau.866980_INMET",24.56248858,8,16.4,83.6,0
"BRA_BA_Irece.AP.866350_INMET",23.94525114,6,29.8,70.2,0
